neighbourhood,price
Flushing,83.8374655647383
Fordham,61.869565217391305
Forest Hills,106.16666666666667
Fort Greene,154.09022556390977
Fort Hamilton,95.13333333333334
Fresh Meadows,99.46666666666667
Glendale,91.1304347826087
Gowanus,154.99519230769232
Gramercy,205.83846153846153
Graniteville,68.66666666666667
Grant City,60.5
Gravesend,73.18604651162791
Great Kills,100.6
Greenpoint,144.28968713789106
Greenwich Village,240.48504983388705
Grymes Hill,156.5
Harlem,117.14461118690313
Hell's Kitchen,186.08
Highbridge,72.04545454545455
Hollis,76.7
Holliswood,159.0
Howard Beach,113.86666666666666
Howland Hook,100.0
Huguenot,118.33333333333333
Hunts Point,51.8125
Inwood,84.8128078817734
Jackson Heights,80.3125
Jamaica,86.171875
Jamaica Estates,134.78571428571428
Jamaica Hills,136.71428571428572
Kensington,88.19285714285714
Kew Gardens,72.30434782608695
Kew Gardens Hills,95.33333333333333
Kingsbridge,78.20370370370371
Kips Bay,180.47904191616766
Laurelton,96.9375
Lighthouse Hill,157.5
Little Italy,178.3111111111111
Little Neck,42.333333333333336
Long Island City,117.4951690821256
Longwood,74.48936170212765
Lower East Side,164.4639455782313
Manhattan Beach,107.0
Marble Hill,94.0
Mariners Harbor,79.57142857142857
Maspeth,88.38271604938272
Melrose,82.71428571428571
Middle Village,108.85714285714286
Midland Beach,97.5
Midtown,268.31326530612245
Midwood,76.62962962962963
Mill Basin,179.75
Morningside Heights,113.9563492063492
Morris Heights,62.75
Morris Park,72.0
Morrisania,75.42857142857143
Mott Haven,80.71698113207547
Mount Eden,60.6
Mount Hope,83.5625
Murray Hill,218.14193548387098
Navy Yard,151.91666666666666
Neponsit,274.6666666666667
New Brighton,101.8
New Dorp Beach,38.0
New Springville,69.16666666666667
NoHo,298.4516129032258
Nolita,233.07389162561577
North Riverdale,59.166666666666664
Norwood,68.125
Oakwood,81.2
Olinville,53.0
Ozone Park,86.7872340425532
Park Slope,170.1154791154791
Parkchester,68.5625
Pelham Bay,113.46153846153847
Pelham Gardens,89.04
Port Morris,70.47368421052632
Port Richmond,77.14285714285714
Prince's Bay,135.0
Prospect Heights,148.74918566775244
Prospect-Lefferts Gardens,106.9554565701559
Queens Village,78.40816326530613
Randall Manor,75.52941176470588
Red Hook,136.57575757575756
Rego Park,79.91111111111111
Richmond Hill,85.76543209876543
Richmondtown,78.0
Ridgewood,80.4375
Riverdale,226.85714285714286
Rockaway Beach,130.85106382978722
Roosevelt Island,94.32307692307693
Rosebank,111.85714285714286
Rosedale,77.27450980392157
Rossville,75.0
Schuylerville,69.23076923076923
Sea Gate,482.5
Sheepshead Bay,102.04761904761905
Shore Acres,105.0
Silver Lake,70.0
SoHo,281.7077464788732
Soundview,52.84615384615385
South Beach,89.25
South Ozone Park,85.05263157894737
South Slope,146.42798353909464
Springfield Gardens,93.35
Spuyten Duyvil,180.0
St. Albans,97.52173913043478
St. George,102.31428571428572
Stapleton,84.875
Stuyvesant Town,126.0
Sunnyside,84.2320819112628
Sunset Park,110.38412698412698
Theater District,237.0748299319728
Throgs Neck,94.52380952380952
Todt Hill,169.0
Tompkinsville,77.25
Tottenville,160.8
Tremont,49.9
Tribeca,460.3
Two Bridges,122.08474576271186
Unionport,162.0
University Heights,67.70588235294117
Upper East Side,167.43468950749465
Upper West Side,186.87236931432452
Van Nest,58.55555555555556
Vinegar Hill,172.69230769230768
Wakefield,75.70731707317073
Washington Heights,87.20112517580873
West Brighton,66.25
West Farms,122.0
West Village,250.9884297520661
Westchester Square,127.44444444444444
Westerleigh,71.5
Whitestone,127.875
Williamsbridge,104.41176470588235
Williamsburg,139.63087674714103
Willowbrook,249.0
Windsor Terrace,129.3968253968254
Woodhaven,62.72222222222222
Woodlawn,60.09090909090909
Woodside,89.8529411764706
